customer_id,reference_number,trans_date,post_date,transaction_type,description,amount_usd,month
C001,945NQ4FMYZYCWTIQJ7,2023-07-08,2023-07-09,Purchase,EBAY INC  866-540-3229  CA,8.84,2023-07
C001,L1C32OC6UZHR5XFF0T,2023-07-08,2023-07-10,Purchase,URGENT CARE CENTER  CA,6.13,2023-07
C001,F8MDD4V30T9NT3W5UZ,2023-07-11,2023-07-12,Purchase,DOMINO'S PIZZA  MI,20.21,2023-07
C001,71YZOYN6QICATVAZCC,2023-07-12,2023-07-12,Payment,MOBILE PAYMENT  LAS VEGAS  NV,-156.53,2023-07
C001,OH9SDBDW2PCN9T84AZ,2023-07-14,2023-07-16,Purchase,URGENT CARE CENTER  CA,1.14,2023-07
C001,REN93IIUC039TEX8FS,2023-07-20,2023-07-21,Purchase,NETFLIX  866-579-7172  CA,13.51,2023-07
C001,IFD0TVBDIVUZZPQK51,2023-07-24,2023-07-25,Purchase,AMAZON.COM  800-201-7575  WA,3.15,2023-07
C001,1MKFAZZ81SDW4SHNF8,2023-07-25,2023-07-26,Purchase,URGENT CARE CENTER  CA,1.14,2023-07
C002,IYHE7UR23GDPPQ0Y9D,2023-09-03,2023-09-05,Purchase,GOOGLE PLAY  CA,54.21,2023-09
C002,IGQPKI7P5TB94874FR,2023-09-11,2023-09-11,Purchase,EXPEDIA  800-397-3342  WA,72.63,2023-09
C002,CS4CC5O7UUBCXULJYL,2023-09-11,2023-09-11,Payment,MOBILE PAYMENT  LAS VEGAS  NV,-153.01,2023-09
C002,FAO72KZ02XRGHC0CLB,2023-09-29,2023-09-29,Purchase,DOMINO'S PIZZA  MI,1.23,2023-09
C003,3KX7EEDTJVZHWJR64D,2024-04-01,2024-04-03,Purchase,STEAM GAMES  WA,18.0,2024-04
C003,ME9FPZUE8YFBNTPBN7,2024-04-02,2024-04-02,Purchase,HILTON HOTELS  800-445-8667  VA,2.41,2024-04
C003,E8G8JDP0LVSNUJZA7T,2024-04-06,2024-04-06,Payment,PHONE PAYMENT  LAS VEGAS  NV,-329.39,2024-04
C003,2D54I3QK2IAGL58KXO,2024-04-09,2024-04-09,Purchase,AMC THEATERS  888-440-4262  KS,2.04,2024-04
C003,KL1CQ99CHJ755NF4ZW,2024-04-22,2024-04-24,Purchase,MARRIOTT HOTELS  800-627-7468  MD,35.31,2024-04
C003,Z0YNCXLL4ZKLOOKEP7,2024-04-22,2024-04-24,Credit,CREDIT ONE REWARD CREDIT    CREDIT,-2.5,2024-04
C003,HID25OWF75935A0L72,2024-04-29,2024-04-30,Purchase,SQ *ENRICH AND EMPLOY  CA,2.02,2024-04
C004,SBI4Q2Y9V86WZS3T60,2023-11-06,2023-11-08,Purchase,MARRIOTT HOTELS  800-627-7468  MD,26.7,2023-11
C004,4J1RIPZIM6CFNFHOLQ,2023-11-09,2023-11-09,Purchase,UBER  800-593-7069  CA,16.25,2023-11
C004,TAKPUXQPHR62GDSWM3,2023-11-10,2023-11-11,Purchase,COMCAST XFINITY  800-934-6489  PA,17.12,2023-11
C004,JRNY20479T6VXDP5GJ,2023-11-11,2023-11-07,Credit,CREDIT ONE REWARD CREDIT    CREDIT,-1.25,2023-11
C004,3O18A5UR7KO64T026R,2023-11-12,2023-11-12,Payment,INTERNET PAYMENT  LAS VEGAS  NV,-69.82,2023-11
C004,IHAIR4COWGZRIXA11D,2023-11-22,2023-11-23,Purchase,AMC THEATERS  888-440-4262  KS,35.12,2023-11
C005,3KMKZEBBK7W1DAKRM8,2023-08-09,2023-08-09,Payment,PHONE PAYMENT  LAS VEGAS  NV,-207.83,2023-08
C005,TP0LZJJEGET1GHR09S,2023-08-16,2023-08-18,Purchase,AT&T WIRELESS  800-331-0500  TX,65.18,2023-08
C005,4VE92MPNSM43D8W3ZP,2023-08-23,2023-08-24,Purchase,7-ELEVEN  CA,14.64,2023-08
C005,K8P4Q0B8IC8BBI4WIR,2023-08-25,2023-08-26,Purchase,BP GAS STATION  IL,40.11,2023-08
C005,M5ZJA8DZR1YXR2DHYL,2023-08-26,2023-08-27,Purchase,CHIPOTLE MEXICAN GRILL  CO,25.81,2023-08
C005,QJNV8Z2FLU7U6N7HV3,2023-08-31,2023-08-31,Purchase,HOWLY.COM  877-7793675  DE,6.37,2023-08
C005,J3TRP0J43D5IQVNB4G,2023-08-31,2023-09-02,Purchase,URGENT CARE CENTER  CA,19.34,2023-08
C006,OCWBFUK9E1V2ISQP49,2024-01-04,2024-01-04,Purchase,APPLE ITUNES  800-275-2273  CA,12.59,2024-01
C006,GN1W1HT7PZE9VIFTTD,2024-01-07,2024-01-07,Payment,MOBILE PAYMENT  LAS VEGAS  NV,-257.55,2024-01
C006,LY4LYK83TQLL8OS9XT,2024-01-12,2024-01-13,Purchase,BEST BUY  888-237-8289  MN,52.85,2024-01
C006,V08HHXFGCAQVKIZZQY,2024-01-20,2024-01-20,Purchase,SUNOCO GAS STATION  PA,40.8,2024-01
C006,PTX63CFL0UKEYZ7SRC,2024-01-22,2024-01-22,Purchase,SUNOCO GAS STATION  PA,50.71,2024-01
C006,VAIY4VA13U1GSPK9P3,2024-01-24,2024-01-25,Purchase,BEST BUY  888-237-8289  MN,2.69,2024-01
C007,444NLZ15BCW790PDW5,2023-07-08,2023-07-08,Payment,MOBILE PAYMENT  LAS VEGAS  NV,-797.44,2023-07
C007,KV9RFTMTTQLGZUI1B0,2023-07-10,2023-07-12,Purchase,SQ *ENRICH AND EMPLOY  CA,0.98,2023-07
C007,2XF8E8LD4D6AF58C2J,2023-07-13,2023-07-15,Purchase,WALGREENS  800-925-4733  IL,43.46,2023-07
C007,RZSJ49ITN7S55J2O7S,2023-07-21,2023-07-21,Purchase,DELTA AIR LINES  800-221-1212  GA,2.73,2023-07
C008,2BNE6LOH25NSJF678K,2023-11-02,2023-11-03,Purchase,URGENT CARE CENTER  CA,1.51,2023-11
C008,UY0BVR6K2VMWWYZX4W,2023-11-09,2023-11-09,Purchase,WALGREENS  800-925-4733  IL,5.34,2023-11
C008,YFPMVXPJ4HNRIUU9K9,2023-11-15,2023-11-16,Purchase,COSTCO WHOLESALE  WA,24.29,2023-11
C008,V05X4W7KYHQIN9N6XC,2023-11-19,2023-11-19,Payment,PHONE PAYMENT  LAS VEGAS  NV,-440.44,2023-11
C008,QW7LVXWQZXEBB9EITN,2023-11-22,2023-11-22,Purchase,SHELL OIL  TX,8.53,2023-11
C008,QC1IYYO4UDOJEN0JNW,2023-11-26,2023-11-26,Purchase,GOOGLE PLAY  CA,16.94,2023-11
C008,B2KNFTU2GC5WI6FQJJ,2023-11-29,2023-11-29,Purchase,SUBWAY  CT,49.54,2023-11
C009,DDP0NEC8UYO57P6BKL,2023-11-03,2023-11-03,Cash Advance,CASH ADVANCE ATM HOUSTON TX,41.81,2023-11
C009,FR4MUEKIPU1WYUVXYB,2023-11-12,2023-11-12,Payment,INTERNET PAYMENT  LAS VEGAS  NV,-91.22,2023-11
C009,VDZ4X1ZHQIMQODPXNF,2023-11-15,2023-11-17,Purchase,AT&T WIRELESS  800-331-0500  TX,3.92,2023-11
C009,2D5EM2VAJEPECQNVQH,2023-11-18,2023-11-19,Purchase,MCDONALD'S  IL,8.96,2023-11
C009,SQ8CROYR6CCVCJWTL9,2023-11-24,2023-11-26,Purchase,NETFLIX  866-579-7172  CA,31.45,2023-11
C009,DHX8BM92H3TV3I12VJ,2023-11-28,2023-11-29,Purchase,7-ELEVEN  CA,1.71,2023-11
C009,ZLMA5UOFWB0HPMNZ1U,2023-11-30,2023-11-30,Fee,CREDIT PROTECT  1-877-825-3242,1.01,2023-11
C009,5F1BCPPVOHSMDYVSLH,2023-11-30,2023-11-30,Fee,EXPRESS PAYMENT FEE  LAS VEGAS  NV,2.33,2023-11
C010,WTG1M8XFDJGF1C8WQU,2024-01-03,2024-01-05,Purchase,AMC THEATERS  888-440-4262  KS,11.45,2024-01
C010,LXXEZDUXLEZ896DYSA,2024-01-05,2024-01-06,Purchase,CREDIT PROTECT  1-877-825-3242  NV,23.27,2024-01
C010,811KERPETIUYMO0PQC,2024-01-07,2024-01-08,Purchase,AMAZON.COM  800-201-7575  WA,16.94,2024-01
C010,8M1G9FK2ST0SX5WVFG,2024-01-11,2024-01-11,Payment,PHONE PAYMENT  LAS VEGAS  NV,-539.06,2024-01
C010,OXKO8G8QYNPDPOC50H,2024-01-14,2024-01-16,Purchase,SUNOCO GAS STATION  PA,5.83,2024-01
C010,SFNKOMV2XCDYK0X65M,2024-01-15,2024-01-17,Purchase,WALGREENS  800-925-4733  IL,54.47,2024-01
C010,YW6ZBNZ8V12II826GY,2024-01-19,2024-01-15,Credit,CREDIT ONE REWARD CREDIT    CREDIT,-1.25,2024-01
C010,NU80B6UGVS8Q349DXB,2024-01-20,2024-01-22,Purchase,HOWLY.COM  877-7793675  DE,3.19,2024-01
C010,X9L8LPQW2VMCQBNKX9,2024-01-22,2024-01-24,Purchase,VERIZON WIRELESS  800-922-0204  NJ,12.34,2024-01
C011,LLO3RBXK5BXJ2POP8M,2023-07-07,2023-07-07,Purchase,COSTCO WHOLESALE  WA,4.1,2023-07
C011,0W10LBT3G2QZW3C1QK,2023-07-12,2023-07-12,Purchase,SHELL OIL  TX,1.74,2023-07
C011,6AHF7VP1IEIXWC4RTW,2023-07-20,2023-07-20,Purchase,UBER  800-593-7069  CA,17.11,2023-07
C011,YN2JCPP9GKDLKQZFPQ,2023-07-21,2023-07-21,Payment,AUTOPAY PAYMENT  LAS VEGAS  NV,-22.86,2023-07
C011,KAMUGYSM8T2SA5BNN0,2023-07-23,2023-07-23,Purchase,SPOTIFY USA  DE,47.88,2023-07
C011,SPFHV5BRN7ZSEDFQS3,2023-07-25,2023-07-26,Purchase,GOOGLE PLAY  CA,52.68,2023-07
C011,57OONNCILDZMFB7R31,2023-07-27,2023-07-28,Purchase,WALMART SUPERCENTER  TX,42.3,2023-07
C011,5M9J98CWN2Y8FV2BC2,2023-07-31,2023-07-31,Fee,FOREIGN TRANSACTION FEE  LAS VEGAS  NV,1.0,2023-07
C012,92IRMUQ9E5COZROOUE,2023-10-08,2023-10-08,Purchase,SUNOCO GAS STATION  PA,21.05,2023-10
C012,WTEKTSG7FXZV4U3BBX,2023-10-09,2023-10-09,Purchase,SQ *ENRICH AND EMPLOY  CA,75.46,2023-10
C012,Z049ENULQJIDKNWI5F,2023-10-11,2023-10-30,Credit,CREDIT ONE REWARD CREDIT    CREDIT,-0.84,2023-10
C012,1OXRWK8R2YKCCPRHVL,2023-10-12,2023-10-12,Payment,PHONE PAYMENT  LAS VEGAS  NV,-389.37,2023-10
C012,YM52XG8P6BEFFLZM76,2023-10-15,2023-10-16,Purchase,SHELL OIL  TX,13.54,2023-10
C012,HECGZ9389YZTKKFZZG,2023-10-23,2023-10-24,Purchase,SUBWAY  CT,16.83,2023-10
C012,BFQNPCENLK8AGS6E1Z,2023-10-31,2023-11-02,Purchase,EXXON MOBIL  TX,1.98,2023-10
C013,8DALFYO1750CEHLXSL,2024-02-02,2024-02-04,Purchase,STARBUCKS  WA,10.42,2024-02
C013,RSRLA8S8HMBR5XQT4P,2024-02-07,2024-02-07,Purchase,WALGREENS  800-925-4733  IL,2.84,2024-02
C013,UT6OM1FB8C7X0H3JUJ,2024-02-10,2024-02-10,Purchase,GOOGLE PLAY  CA,27.88,2024-02
C013,Y9V20YAR821UZVGWW4,2024-02-12,2024-02-13,Purchase,DELTA AIR LINES  800-221-1212  GA,0.98,2024-02
C013,BBZ2SF6F7LOW4VSSRU,2024-02-13,2024-02-15,Purchase,UBER EATS  CA,5.03,2024-02
C013,IYTWBOZD1AT7O75RH8,2024-02-13,2024-02-13,Payment,INTERNET PAYMENT  LAS VEGAS  NV,-46.7,2024-02
C013,TY5Y2JR8KK791ZYRRU,2024-02-18,2024-02-19,Purchase,DOORDASH  855-431-0459  CA,0.5,2024-02
C013,NOUHTCS1K9YE9O2M71,2024-02-25,2024-02-26,Purchase,BP GAS STATION  IL,2.12,2024-02
C014,S6ZLE6KWHEF0VOTQTX,2024-01-13,2024-01-15,Purchase,CHEVRON  CA,14.52,2024-01
C014,YV2STN7E36HTF4PYZR,2024-01-13,2024-01-13,Payment,AUTOPAY PAYMENT  LAS VEGAS  NV,-219.25,2024-01
C014,SDYGFLIJI18K0AXYCE,2024-01-27,2024-01-28,Purchase,APPLE ITUNES  800-275-2273  CA,19.99,2024-01
C014,6QCEOUUYLAJAHCPZTC,2024-01-29,2024-01-03,Credit,CREDIT ONE REWARD CREDIT    CREDIT,-0.84,2024-01
C014,XI04B7P47B42G05KBK,2024-01-30,2024-01-30,Purchase,SHELL OIL  TX,17.5,2024-01
C014,K9TR74QGEFQJG02U1G,2024-01-30,2024-01-31,Purchase,NETFLIX  866-579-7172  CA,2.62,2024-01
C015,KC856WPR97Y2LOFN1R,2023-07-08,2023-07-09,Purchase,UBER EATS  CA,8.32,2023-07
C015,FQCOOTNJLCQNT3BNVB,2023-07-10,2023-07-12,Purchase,AMC THEATERS  888-440-4262  KS,2.31,2023-07
C015,119XP9N56NYXTXMGTT,2023-07-14,2023-07-14,Purchase,TARGET  MN,24.49,2023-07
C015,TMJSRD9Q46NOUHFJ7U,2023-07-15,2023-07-15,Cash Advance,CASH ADVANCE ATM HOUSTON TX,73.11,2023-07
C015,FLN4RXYJ38XRG2GZR7,2023-07-15,2023-07-15,Payment,MOBILE PAYMENT  LAS VEGAS  NV,-467.45,2023-07
C015,QY5IBPT11F9I6UU13I,2023-07-20,2023-07-20,Purchase,AMAZON.COM  800-201-7575  WA,1.44,2023-07
C015,0UR5L8A78E9RIVH6T1,2023-07-26,2023-07-28,Purchase,WALMART SUPERCENTER  TX,37.29,2023-07
C015,19QZPNIQFG51BXW76I,2023-07-27,2023-07-27,Purchase,CVS PHARMACY  800-746-7287  RI,27.67,2023-07
C015,98S4C3BAEWCFHQCW76,2023-07-31,2023-07-31,Fee,ANNUAL FEE  LAS VEGAS  NV,5.85,2023-07
C016,TATJ9A3Y36DDFGS3JO,2024-01-01,2024-01-03,Purchase,DELTA AIR LINES  800-221-1212  GA,16.69,2024-01
C016,NEKRCPPRCJIWVHDK8L,2024-01-06,2024-01-08,Purchase,UBER EATS  CA,17.35,2024-01
C016,IZK3C9XBONRWZC4XL9,2024-01-15,2024-01-17,Purchase,EXXON MOBIL  TX,6.87,2024-01
C016,EUVTYT8QZPKY32ORWI,2024-01-17,2024-01-17,Payment,MOBILE PAYMENT  LAS VEGAS  NV,-340.07,2024-01
C016,U4YTN02YC0MDICVWV8,2024-01-19,2024-01-19,Purchase,CHEVRON  CA,6.37,2024-01
C016,2QITNGVN1KICJN2FOM,2024-01-21,2024-01-22,Purchase,SHELL OIL  TX,6.72,2024-01
C016,PP3XVKVZRGOL0W82LK,2024-01-26,2024-01-27,Purchase,VERIZON WIRELESS  800-922-0204  NJ,37.3,2024-01
C016,I6YUJ7YKTXG4AHF337,2024-01-30,2024-01-30,Purchase,HOWLY.COM  877-7793675  DE,1.12,2024-01
C016,Q1DDPUSDDTV25AO20U,2024-01-31,2024-02-01,Purchase,AMAZON.COM  800-201-7575  WA,22.36,2024-01
C017,KGYSPENGWYX9TRFLQB,2024-04-04,2024-04-04,Purchase,CHIPOTLE MEXICAN GRILL  CO,32.81,2024-04
C017,H0Y4VPW232UTVG9KU8,2024-04-13,2024-04-13,Payment,INTERNET PAYMENT  LAS VEGAS  NV,-21.26,2024-04
C017,HNUXORZPGU2HBIK2U1,2024-04-16,2024-04-16,Purchase,SHELL OIL  TX,15.15,2024-04
C017,TLPQ2WGXO05QPAHKZ2,2024-04-17,2024-04-17,Purchase,CVS PHARMACY  800-746-7287  RI,31.84,2024-04
C017,UJT9T11PHP0XI5BJ5D,2024-04-17,2024-04-17,Purchase,LYFT  844-250-2773  CA,16.46,2024-04
C017,X8L2DDH0UYHNQYYF9R,2024-04-21,2024-04-23,Purchase,HOWLY.COM  877-7793675  DE,2.84,2024-04
C017,C9ROS7YT2M6TWD1XMX,2024-04-26,2024-04-27,Purchase,DOMINO'S PIZZA  MI,14.23,2024-04
C017,GLQJ5SXVWVM4W3ZKWD,2024-04-26,2024-04-28,Purchase,NETFLIX  866-579-7172  CA,18.34,2024-04
C017,E7FLQHRRPZLK3E4XYF,2024-04-30,2024-04-30,Purchase,EXXON MOBIL  TX,27.8,2024-04
C017,9YD82795E5IZ31YRUJ,2024-04-30,2024-04-30,Fee,ANNUAL FEE  LAS VEGAS  NV,1.0,2024-04
C018,21O0Z5QRU54D8WZ42O,2024-03-03,2024-03-05,Purchase,UBER  800-593-7069  CA,24.48,2024-03
C018,DMCXXBW01PDDHCVSQA,2024-03-06,2024-03-07,Purchase,SUBWAY  CT,5.01,2024-03
C018,VGOX22INIWC5AMLN4P,2024-03-07,2024-03-09,Purchase,GOOGLE PLAY  CA,16.56,2024-03
C018,9FLV1XXLP8II7EWBXX,2024-03-12,2024-03-12,Payment,INTERNET PAYMENT  LAS VEGAS  NV,-115.98,2024-03
C018,LKTE4261BW4A7FQ9P9,2024-03-16,2024-03-17,Purchase,MARRIOTT HOTELS  800-627-7468  MD,1.13,2024-03
C018,Q9CVAH78OKZ1POXTFD,2024-03-25,2024-03-25,Cash Advance,CASH ADVANCE ATM LOS ANGELES CA,50.14,2024-03
C018,YRID3DNKN35XYCUVFM,2024-03-28,2024-03-29,Purchase,SHELL OIL  TX,1.4,2024-03
C018,WPH6FE0MP2IXIVZK7A,2024-03-30,2024-03-31,Purchase,MCDONALD'S  IL,44.39,2024-03
C018,EZZF8S2ZGE2J51B3JC,2024-03-31,2024-03-31,Fee,LATE PAYMENT FEE  LAS VEGAS  NV,4.01,2024-03
C019,N0LH9P89FKBI4O6Q0U,2024-01-01,2024-01-03,Purchase,TARGET  MN,3.22,2024-01
C019,4UTDD2EC2IHOY7DV7C,2024-01-01,2024-01-02,Purchase,CHEVRON  CA,2.09,2024-01
C019,QMRUNJDU0ISB5IQNF7,2024-01-03,2024-01-04,Purchase,CREDIT PROTECT  1-877-825-3242  NV,4.34,2024-01
