customer_id,statement_month,previous_balance,payment_amount,purchases_amount,cash_advances,interest_charged,fees_charged,new_balance,credit_limit,current_balance,utilization_rate,delinquency_status,days_past_due,bureau_score,age,income,payment_on_time_flag,payment_on_time_avg_3m,payment_on_time_avg_6m,utilization_volatility_3m,utilization_volatility_6m,bureau_score_6m_avg,bureau_score_deviation,spend_last_30_days,spend_mom_change,cash_advance_to_purchase_ratio,normalized_purchase_frequency,total_spend,total_purchase_amount,trans_count,geography_region_enc,employment_status_enc,month_idx,utilization_lag_1m,utilization_lag_2m,utilization_lag_3m,utilization_lag_4m,utilization_lag_5m,utilization_lag_6m,bureau_lag_1m,bureau_lag_2m,bureau_lag_3m,bureau_lag_4m,bureau_lag_5m,bureau_lag_6m,purchases_to_limit,balance_to_limit,payment_to_balance,fees_to_balance,interest_to_balance,income_to_limit,age_bucket,high_util_flag,dpd_flag,default_flag
C001,2025-12-01,74392.69,59868.28,33704.4,287.58,4663.12,78.83,53258.34,210036.1,53258.34,0.2536,0,0,714,31,58689.02,0,0.0,0.0,0.0729020118606704,0.07414288008073779,727.8333333333334,-13.833333333333371,33991.98,-0.04855874422667761,0.008532417132481217,1.0,550646.72,523177.49,12,2,0,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.1604687933703141,0.25356634613599216,0.8047494350663342,0.0014801159759020672,0.08755497157869399,0.2794221592280602,3,0,0,0
C002,2025-12-01,52446.32,50559.2,38718.33,1400.93,1908.7,189.63,44104.71,151748.17,44104.71,0.2906,0,0,664,26,110894.89,1,0.6666666666666666,0.3333333333333333,0.010402563786554367,0.052390167652591725,675.8333333333334,-11.833333333333371,40119.26,-0.051763735439093184,0.036182603950118714,1.0,408807.02,385854.92,12,2,0,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.2551468980028029,0.29064218275460746,0.9639996857799407,0.004299443314709139,0.043275575883485386,0.7307775719629965,2,0,0,0
C003,2025-12-01,75738.32,54758.99,26126.41,7465.47,3687.89,129.48,58388.58,175248.4,58388.58,0.3332,0,0,625,27,73471.03,0,0.0,0.0,0.052924694929053134,0.12145133456107696,603.6666666666666,21.33333333333337,33591.88,-0.0851505835753551,0.28574419524152,1.0,531321.01,465543.67,12,4,0,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.14908130926553814,0.3331742077290992,0.7229928919351268,0.002217518947730057,0.06316007068384462,0.4192369845488772,2,0,0,0
C004,2025-12-01,10333.88,6254.53,5376.13,1015.82,344.29,284.63,11100.22,25000.0,11100.22,0.444,0,0,638,26,132647.85,0,0.0,0.0,0.08798050920516429,0.10457597078997961,666.6666666666666,-28.66666666666663,6391.95,-0.14798424451657188,0.18895004399075171,1.0,69431.42,62881.840000000004,12,0,0,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.21503659853605855,0.44399104035838566,0.605186514018547,0.0256395243045359,0.03101370840322055,5.305701771929123,2,0,0,0
C005,2025-12-01,54101.5,43057.68,10752.23,2317.43,2443.6,214.05,26771.14,126544.67,26771.14,0.2116,0,0,643,44,78484.97,0,0.0,0.0,0.14971937082421896,0.11419262235363545,624.6666666666666,18.33333333333337,13069.66,-0.5839760068551842,0.21553017374070307,1.0,339053.44,300130.68,12,0,2,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.08496719010614903,0.21155318866303366,0.7958537960353034,0.00799525178039559,0.09127398855676087,0.620210632256323,4,0,0,0
C006,2025-12-01,24894.17,17642.34,8634.82,943.36,1262.18,395.85,18488.04,57492.19,18488.04,0.3216,0,0,720,44,29585.48,0,0.0,0.0,0.1181011007569363,0.10790037380225645,720.1666666666666,-0.16666666666662877,9578.18,-0.41873203674214465,0.10925068501717465,1.0,159581.29,135831.57,12,4,3,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.15018857015935277,0.3215692154149039,0.7086651748110177,0.021409981264576203,0.06826638916893468,0.5145910324335804,4,0,0,1
C007,2025-12-01,23144.07,17267.56,23520.61,2643.7,2054.05,169.06,34263.94,87406.69,34263.94,0.392,0,0,555,49,65293.48,0,0.0,0.0,0.0758126858337926,0.07036660192638752,564.8333333333334,-9.833333333333371,26164.31,2.0588366644531946,0.11239929576656386,1.0,241127.01,223913.11,12,2,1,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.2690908545918557,0.3920014360292556,0.7460577997819838,0.004933906202666632,0.059946114016251016,0.7469992628795018,4,0,0,0
C008,2025-12-01,32615.19,24149.81,7621.28,288.92,1363.15,212.68,17951.4,99754.71,17951.4,0.18,0,0,727,64,76727.93,0,0.0,0.0,0.08855830471126538,0.07559501085830105,723.8333333333334,3.1666666666666288,7910.2,-0.7157757365569994,0.0379096424747549,1.0,256403.5,238440.08000000002,12,1,3,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.07639943618265059,0.17995360867062146,0.7404240041525391,0.01184688398208596,0.07593135179697422,0.7691582767542829,6,0,0,0
C009,2025-12-01,68570.11,38640.16,29966.53,6022.72,2288.99,320.14,68528.33,150481.33,68528.33,0.4554,0,0,697,67,102524.46,0,0.0,0.0,0.1027416825506247,0.06857651687470472,685.1666666666666,11.833333333333371,35989.25,4.21571238927793,0.20098156176240628,1.0,384679.94,343227.72,12,3,1,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.19913653649568028,0.4553912077251861,0.5635049512834196,0.004671576389262816,0.033401610668016155,0.6813056390075832,6,0,0,0
C010,2025-12-01,39298.19,35339.65,26082.42,2.27,2299.05,223.89,32566.18,106986.99,32566.18,0.3044,0,0,635,66,64241.0,0,0.0,0.0,0.026533814903502987,0.06824161242721813,644.6666666666666,-9.666666666666629,26084.69,0.28305637153150087,8.703180149694699e-05,1.0,329579.52,301825.82,12,2,3,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.24378829810710526,0.3043909881847486,0.899246269452373,0.006874712517325725,0.07059407661332667,0.6004505739382523,6,0,0,1
C011,2025-12-01,10030.15,8245.57,8476.31,1013.72,742.61,149.85,12167.06,29413.95,12167.06,0.4136,1,19,682,49,86915.87,0,0.0,0.16666666666666666,0.03307813981065649,0.08514309719525125,691.6666666666666,-9.666666666666629,9490.029999999999,-0.011251278909608642,0.11959449335854871,1.0,94424.64,88667.5,12,1,1,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.288163331911154,0.41363524330315027,0.821996480961804,0.012315028032406151,0.06102944923019775,2.9548195730402393,4,0,1,0
C012,2025-12-01,91787.58,63083.9,74901.88,936.8,4831.73,202.54,109576.63,245489.49,109576.63,0.4464,1,28,702,33,88520.15,0,0.0,0.0,0.043477043751080156,0.060223807584708466,720.3333333333334,-18.33333333333337,75838.68000000001,0.27061718656935607,0.012507029196062901,1.0,696694.23,616739.0,12,2,3,12,0.2286,0.3655,0.284,0.2206,0.3989,0.2618,722.0,714.0,729.0,739.0,749.0,751.0,0.30511112670800405,0.446357942419684,0.6872739506374322,0.0018483699638329465,0.044094127606154644,0.36058484383651684,3,0,1,0
C013,2025-12-01,105828.42,55080.35,34258.83,6527.97,1463.28,287.36,93285.5,196043.72,93285.5,0.4758,1,49,751,68,90106.72,0,0.0,0.0,0.10757863790424824,0.13385977239883037,745.3333333333334,5.666666666666629,40786.8,0.5625120913599213,0.19054853887304382,1.0,505928.32999999996,439659.91000000003,12,2,3,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.17475007743131263,0.47583785985156857,0.520463496823473,0.0030804028449990086,0.01568587094595681,0.4596232941137104,6,0,1,1
C014,2025-12-01,76869.4,59743.51,35085.6,5438.53,3983.33,265.73,61899.08,166823.3,61899.08,0.371,0,0,571,39,42567.09,0,0.0,0.0,0.0879776297324117,0.08181590717376827,566.0,5.0,40524.13,0.09362494052738524,0.15500746745103405,1.0,444540.56,394216.23,12,2,3,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.21031468437152143,0.37104354701323494,0.7771978550911666,0.004292886212748029,0.06435096691312837,0.2551612085289733,3,0,0,0
C015,2025-12-01,86342.35,57445.56,27176.66,1665.48,3000.16,286.86,61025.96,161675.06,61025.96,0.3775,0,0,622,28,65160.91,0,0.0,0.0,0.01472220545072492,0.028051910214220297,608.5,13.5,28842.14,-0.17625893938355375,0.061283468976688085,1.0,395751.25,367361.33,12,1,0,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.16809328480666835,0.37745823345769314,0.6653153948740695,0.004700545463840899,0.049161223170873986,0.40303375774991057,2,0,0,0
C016,2025-12-01,45653.61,26891.9,30831.61,2164.97,1609.04,200.25,53567.58,110660.21,53567.58,0.4841,0,0,680,32,115486.57,0,0.0,0.0,0.09803113451007972,0.08334835331306788,672.6666666666666,7.333333333333371,32996.58,0.9784281018672303,0.07021916792538566,1.0,313237.70999999996,281079.88,12,2,3,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.27861262315855756,0.4840682656551469,0.5890292349447296,0.0037381987724893957,0.030037010501305056,1.0436048006342964,3,0,0,0
C017,2025-12-01,58142.71,41258.05,32616.69,1903.05,3208.09,354.53,54967.01,173190.84,54967.01,0.3174,1,37,827,48,164727.75,0,0.0,0.0,0.10120950218894138,0.07105330393444066,803.3333333333334,23.66666666666663,34519.74,0.18881336109547964,0.05834589592015622,1.0,365072.32,325471.9,12,2,1,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.18832694427173935,0.3173764422157534,0.7095875031022273,0.006449751409956445,0.05836285504969163,0.9511288176163496,4,0,1,0
C018,2025-12-01,53718.61,48161.94,34256.09,346.18,2264.88,220.6,42644.44,152483.78,42644.44,0.2797,0,0,737,47,74591.01,0,0.0,0.0,0.07161161451422057,0.11453379268437187,721.8333333333334,15.166666666666629,34602.27,-0.1675803436753488,0.010105648367925237,1.0,411461.08999999997,381644.02,12,2,3,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.22465251941865932,0.279663583473708,0.8965429942622443,0.0051728860107903675,0.053109546999632315,0.4891701978387613,4,0,0,0
C019,2025-12-01,38084.88,23307.45,24740.3,1125.51,1346.16,290.44,42279.84,85637.87,42279.84,0.4937,0,0,773,66,152574.97,0,0.0,0.0,0.14263969760670883,0.12239705334143738,762.5,10.5,25865.809999999998,3.355598701359934,0.04549298108753734,1.0,224813.73,209196.67,12,1,1,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.28889101409208223,0.49369918122460044,0.6119708931499024,0.006869305340196648,0.03183853490138796,1.7816088652267366,6,0,0,0
C020,2025-12-01,47574.32,31009.79,43641.51,3203.78,919.22,306.8,64635.84,151111.86,64635.84,0.4277,1,65,842,58,64009.83,0,0.0,0.0,0.04511064176001064,0.07023383087942735,823.6666666666666,18.33333333333337,46845.29,0.3307924053401816,0.07341130038809382,1.0,447183.75,394865.1,12,3,0,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.28880076784993686,0.4277322260990891,0.6518041286952984,0.004746519167706837,0.014221301660167794,0.42358956080905363,5,0,1,0
C021,2025-12-01,60651.1,28650.07,38721.08,3553.45,2703.25,344.57,77323.39,147311.72,77323.39,0.5249,0,0,628,36,112462.73,0,0.0,0.0,0.0034588051886905464,0.11787194181257335,597.5,30.5,42274.53,0.05596093138413227,0.0917704258248995,1.0,399477.88,359768.98,12,2,1,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.26284953532865324,0.5248928266343871,0.47236732116447744,0.004456161891480812,0.03495986195300086,0.7634285077351093,3,0,0,1
C022,2025-12-01,99020.83,74805.26,7383.64,5896.11,3469.97,141.5,41106.79,215528.33,41106.79,0.1907,0,0,676,62,144999.12,0,0.0,0.0,0.06978569576448543,0.09643108765676485,671.8333333333334,4.166666666666629,13279.75,-0.7027019040197116,0.7985370359334961,1.0,513494.76,466309.93,12,4,2,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.034258168018246056,0.19072480761667102,0.7554421080684935,0.0034421699634059628,0.08441149475561688,0.6727581809863187,6,0,0,0
C023,2025-12-01,98665.78,55733.97,38953.01,6763.43,6060.43,207.81,94916.49,240685.5,94916.49,0.3944,0,0,824,29,228934.63,0,0.0,0.0,0.07220680946651321,0.07074123031632022,799.8333333333334,24.16666666666663,45716.44,0.4183882355204236,0.17363048452481591,1.0,644092.12,555060.83,12,0,0,12,0.3114,0.3006,0.4296,0.3066,0.3527,0.268,667.0,677.0,687.0,660.0,700.0,701.0,0.16184127485338812,0.39435734866724975,0.5648706687296373,0.0021893752141991956,0.06384945493185713,0.9511735390227537,2,0,0,0
