customer_id,risk_score,risk_label,action,current_limit,recommended_limit,current_apr,recommended_apr,opportunity_score,opportunity_rank
C001,0.0001,LOW,EXPAND,700.0,804.99,0.18,0.16,7.7767,52
C002,0.029612,LOW,EXPAND,1000.0,1145.56,0.18,0.16,12.4153,35
C003,0.952534,MEDIUM,MONITOR,900.0,900.0,0.18,0.18,0.3498,78
C004,0.984879,MEDIUM,MONITOR,800.0,800.0,0.18,0.18,0.1797,82
C005,0.0001,LOW,EXPAND,650.0,747.49,0.18,0.16,26.3322,5
C006,0.0001,LOW,EXPAND,600.0,689.99,0.18,0.16,26.5597,4
C007,0.040571,LOW,EXPAND,1000.0,1143.91,0.18,0.16,4.5221,65
C008,0.032066,LOW,EXPAND,600.0,687.11,0.18,0.16,17.0959,24
C009,0.9999,HIGH,RESTRICT,500.0,400.01,0.18,0.21,0.0009,96
C010,0.0001,LOW,EXPAND,900.0,1034.99,0.18,0.16,14.1473,30
C011,0.06041,LOW,EXPAND,750.0,855.7,0.18,0.16,20.7448,12
C012,0.0001,LOW,EXPAND,650.0,747.49,0.18,0.16,19.8966,15
C013,0.93009,MEDIUM,MONITOR,500.0,500.0,0.18,0.18,0.7089,72
C014,0.0001,LOW,EXPAND,500.0,574.99,0.18,0.16,10.9171,41
C015,0.000461,LOW,EXPAND,850.0,977.44,0.18,0.16,11.924,36
C016,0.060119,LOW,EXPAND,650.0,741.64,0.18,0.16,16.5714,25
C017,0.0001,LOW,EXPAND,700.0,804.99,0.18,0.16,22.7467,10
C018,0.976145,MEDIUM,MONITOR,750.0,750.0,0.18,0.18,0.2953,79
C019,0.0001,LOW,EXPAND,750.0,862.49,0.18,0.16,4.8743,64
C020,0.028642,LOW,EXPAND,900.0,1031.13,0.18,0.16,5.6287,61
C021,0.975683,MEDIUM,MONITOR,650.0,650.0,0.18,0.18,0.4758,73
C022,0.973322,MEDIUM,MONITOR,700.0,700.0,0.18,0.18,0.4286,75
C023,0.0001,LOW,EXPAND,800.0,919.99,0.18,0.16,15.0047,27
C024,0.0001,LOW,EXPAND,650.0,747.49,0.18,0.16,25.8223,7
C025,0.9999,HIGH,RESTRICT,700.0,560.01,0.18,0.21,0.0017,88
C026,0.9999,HIGH,RESTRICT,750.0,600.01,0.18,0.21,0.0008,98
C027,0.0001,LOW,EXPAND,650.0,747.49,0.18,0.16,10.2294,46
C028,0.061807,LOW,EXPAND,850.0,969.62,0.18,0.16,13.1545,33
C029,0.0001,LOW,EXPAND,850.0,977.49,0.18,0.16,11.2069,38
C030,0.070998,LOW,EXPAND,550.0,626.64,0.18,0.16,13.4259,31
C031,0.07018,LOW,EXPAND,500.0,569.74,0.18,0.16,26.0201,6
C032,0.003182,LOW,EXPAND,500.0,574.76,0.18,0.16,17.8771,21
C033,0.924991,MEDIUM,MONITOR,500.0,500.0,0.18,0.18,1.9052,68
C034,0.114966,LOW,EXPAND,500.0,566.38,0.18,0.16,9.6153,48
C035,0.9999,HIGH,RESTRICT,700.0,560.01,0.18,0.21,0.0014,91
C036,0.983456,MEDIUM,MONITOR,900.0,900.0,0.18,0.18,0.058,83
C037,0.047806,LOW,EXPAND,700.0,799.98,0.18,0.16,21.4291,11
C038,0.035115,LOW,EXPAND,1000.0,1144.73,0.18,0.16,8.0217,50
C039,0.9999,HIGH,RESTRICT,500.0,400.01,0.18,0.21,0.0019,85
C040,0.0001,LOW,EXPAND,850.0,977.49,0.18,0.16,6.9253,57
C041,0.015924,LOW,EXPAND,700.0,803.33,0.18,0.16,4.5091,66
C042,0.0001,LOW,EXPAND,850.0,977.49,0.18,0.16,7.078,55
C043,0.033317,LOW,EXPAND,1000.0,1145.0,0.18,0.16,10.5205,44
C044,0.0001,LOW,EXPAND,500.0,574.99,0.18,0.16,11.1905,39
C045,0.014122,LOW,EXPAND,700.0,803.52,0.18,0.16,18.4743,19
