customer_id,statement_month,previous_balance,payment_amount,purchases_amount,cash_advances,interest_charged,fees_charged,new_balance,credit_limit,current_balance,utilization_rate,delinquency_status,days_past_due,bureau_score,age,income,geography_region,employment_status,default_flag
C001,2022-08-01,272.68,180.02,57.51,0.0,0.0,0.0,150.17,700.0,150.17,0.2145,0,0,655,40,42130.2,West,salaried,0
C001,2022-09-01,396.17,184.06,54.36,0.0,0.0,0.0,266.46,700.0,266.46,0.3807,1,3,659,40,42130.2,West,salaried,0
C001,2022-10-01,401.01,154.97,45.11,0.0,0.0,0.0,291.16,700.0,291.16,0.4159,0,0,652,40,42130.2,West,salaried,0
C001,2022-11-01,447.73,167.97,51.06,0.0,0.0,0.0,330.82,700.0,330.82,0.4726,0,0,649,40,42130.2,West,salaried,0
C001,2022-12-01,296.96,191.87,46.53,0.0,0.0,0.0,151.62,700.0,151.62,0.2166,0,0,661,40,42130.2,West,salaried,0
C001,2023-01-01,383.17,163.8,59.85,0.0,0.0,0.0,279.22,700.0,279.22,0.3989,1,17,656,40,42130.2,West,salaried,0
C001,2023-02-01,314.96,176.29,55.18,0.0,0.0,0.0,193.85,700.0,193.85,0.2769,1,8,646,40,42130.2,West,salaried,0
C001,2023-03-01,368.67,103.85,46.02,0.0,0.0,0.0,310.84,700.0,310.84,0.4441,0,0,662,40,42130.2,West,salaried,0
C001,2023-04-01,281.26,183.39,51.1,0.0,0.0,0.0,148.97,700.0,148.97,0.2128,0,0,642,40,42130.2,West,salaried,0
C001,2023-05-01,323.15,143.15,55.92,0.0,0.0,0.0,235.91,700.0,235.91,0.337,1,4,659,40,42130.2,West,salaried,0
C001,2023-06-01,339.51,119.09,50.96,0.0,0.0,0.0,271.37,700.0,271.37,0.3877,0,0,659,40,42130.2,West,salaried,0
C001,2023-07-01,338.87,156.53,54.52,0.0,0.0,0.0,236.86,700.0,236.86,0.3384,1,15,654,40,42130.2,West,salaried,0
C002,2022-10-01,228.78,150.57,125.8,0.0,0.0,0.0,204.0,1000.0,204.0,0.204,0,0,679,22,66794.25,East,student,0
C002,2022-11-01,245.43,192.77,107.2,0.0,0.0,0.0,159.86,1000.0,159.86,0.1599,1,13,688,22,66794.25,East,student,0
C002,2022-12-01,259.96,100.15,120.25,0.0,0.0,0.0,280.07,1000.0,280.07,0.2801,0,0,673,22,66794.25,East,student,0
C002,2023-01-01,241.58,153.68,115.86,0.0,0.0,0.0,203.77,1000.0,203.77,0.2038,1,6,693,22,66794.25,East,student,0
C002,2023-02-01,245.73,197.79,147.32,0.0,0.0,0.0,195.26,1000.0,195.26,0.1953,0,0,686,22,66794.25,East,student,0
C002,2023-03-01,321.28,108.0,142.71,0.0,0.0,0.0,355.99,1000.0,355.99,0.356,0,0,714,22,66794.25,East,student,0
C002,2023-04-01,267.62,87.77,137.62,0.0,0.0,0.0,317.48,1000.0,317.48,0.3175,1,15,683,22,66794.25,East,student,0
C002,2023-05-01,264.58,148.16,152.64,0.0,0.0,0.0,269.07,1000.0,269.07,0.2691,0,0,690,22,66794.25,East,student,0
C002,2023-06-01,254.35,137.73,131.07,0.0,0.0,0.0,247.7,1000.0,247.7,0.2477,0,0,716,22,66794.25,East,student,0
C002,2023-07-01,283.65,181.52,147.4,0.0,0.0,0.0,249.54,1000.0,249.54,0.2495,1,16,683,22,66794.25,East,student,0
C002,2023-08-01,280.32,158.29,99.82,0.0,0.0,0.0,221.85,1000.0,221.85,0.2218,0,0,694,22,66794.25,East,student,0
C002,2023-09-01,285.4,153.01,128.07,0.0,0.0,0.0,260.46,1000.0,260.46,0.2605,1,2,691,22,66794.25,East,student,0
C003,2023-05-01,617.09,402.27,62.14,0.0,7.32,0.0,284.28,900.0,284.28,0.3159,1,1,593,45,41598.45,East,self-employed,0
C003,2023-06-01,519.98,304.15,78.33,0.0,9.03,0.0,303.18,900.0,303.18,0.3369,0,0,615,45,41598.45,East,self-employed,0
C003,2023-07-01,658.59,351.63,59.72,0.0,8.94,0.0,375.62,900.0,375.62,0.4174,0,0,583,45,41598.45,East,self-employed,0
C003,2023-08-01,481.09,271.54,50.71,0.0,6.06,0.0,266.31,900.0,266.31,0.2959,1,4,608,45,41598.45,East,self-employed,0
C003,2023-09-01,721.06,307.8,65.04,0.0,8.27,0.0,486.56,900.0,486.56,0.5406,0,0,606,45,41598.45,East,self-employed,0
C003,2023-10-01,621.14,341.02,57.37,0.0,4.82,0.0,342.31,900.0,342.31,0.3803,0,0,638,45,41598.45,East,self-employed,0
C003,2023-11-01,709.21,232.98,50.6,0.0,5.63,0.0,532.46,900.0,532.46,0.5916,0,0,599,45,41598.45,East,self-employed,0
C003,2023-12-01,592.09,259.4,36.67,0.0,5.74,0.0,375.1,900.0,375.1,0.4168,0,0,586,45,41598.45,East,self-employed,0
C003,2024-01-01,495.04,257.14,82.69,0.0,9.65,0.0,330.24,900.0,330.24,0.3669,1,6,603,45,41598.45,East,self-employed,0
C003,2024-02-01,588.52,380.6,49.16,0.0,7.33,0.0,264.41,900.0,264.41,0.2938,1,24,591,45,41598.45,East,self-employed,0
C003,2024-03-01,614.58,292.81,56.91,0.0,7.39,0.0,386.08,900.0,386.08,0.429,0,0,612,45,41598.45,East,self-employed,0
C003,2024-04-01,600.58,331.89,59.78,0.0,6.61,0.0,335.08,900.0,335.08,0.3723,1,22,608,45,41598.45,East,self-employed,1
C004,2022-12-01,158.57,68.46,82.83,0.0,0.0,0.0,172.93,800.0,172.93,0.2162,1,26,596,66,42628.8,West,retired,0
